tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
6037109700,103153,1451,Above Moderate Income,No,No,No,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,3075,17187332.4287109,17925.4026288901
6037109800,87750,1519,Low Income,No,No,Yes,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,3076,15020694.4931641,16573.9834328904
6037111100,107386,950,Above Moderate Income,No,No,No,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,3077,11389460.5732422,13559.3841736023
6037111201,102266,1061,Above Moderate Income,No,No,No,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,3078,20422124.8154297,25160.0571679098
6037111202,115799,1853,Above Moderate Income,No,No,No,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,3079,20088990.9589844,20750.4595212889
6037111204,150732,1867,Above Moderate Income,No,No,No,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,3080,35796838.0058594,25671.7621448081
6037111205,67482,1327,Low Income,Yes,No,Yes,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,3081,12510977.3173828,14704.3464082662
6037111206,122014,1423,Above Moderate Income,No,No,No,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,3082,28254587.3808594,24017.9955238269
6037111302,62289,1853,Low Income,Yes,No,Yes,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,3083,16688621.9248047,17841.3257248715
6037111303,98617,1446,Above Moderate Income,No,No,No,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,3084,16839648.4716797,18128.3784563807
6037111304,57581,1258,Very Low Income,Yes,No,Yes,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,3085,4698362.54492188,8760.47577129816
6037111401,124946,681,Above Moderate Income,No,No,No,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,3086,9088755.9609375,12350.690380632
6037111402,47967,2214,Very Low Income,Yes,Yes,Yes,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,3087,10445291.0800781,13232.4831879952
6037113101,108587,1150,Above Moderate Income,No,No,No,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,3088,24470864.6025391,21320.4415956711
6037113102,154514,957,Above Moderate Income,No,No,No,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,3089,39188167.3193359,24707.0824296259
6037113211,93571,1686,Low Income,No,No,Yes,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,3090,78523164.8056641,37624.8664441852
6037113212,94464,957,Low Income,No,No,Yes,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,3091,10616259.8193359,14122.7447933869
6037113213,112222,1714,Above Moderate Income,No,No,No,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,3092,13967351.8974609,16838.9201584259
6037113231,113929,868,Above Moderate Income,No,No,No,District 3,Unincorporated - West Chatsworth,SPA 2 - San Fernando,3093,44809082.1650391,42106.6200250572
6037113232,126424,1492,Above Moderate Income,No,No,No,District 3,Los Angeles - West Hills,SPA 2 - San Fernando,3094,22012355.671875,23299.9135753035
6037113234,61580,1609,Low Income,Yes,No,Yes,District 3,Los Angeles - Canoga Park,SPA 2 - San Fernando,3095,10966615.4697266,16773.9241021883
6037113235,105333,620,Above Moderate Income,No,No,No,District 3,Unincorporated - Lake Manor,SPA 2 - San Fernando,3096,14701757.3300781,28345.5687204176
6037113237,116696,1593,Above Moderate Income,No,No,No,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,3097,51197742.8505859,36157.5953513131
6037113238,57523,1409,Very Low Income,Yes,No,Yes,District 3,Los Angeles - Canoga Park,SPA 2 - San Fernando,3098,7593954.89746094,10850.4038664311
6037113239,44698,878,Very Low Income,Yes,Yes,Yes,District 3,Los Angeles - Canoga Park,SPA 2 - San Fernando,3099,4738085.32324219,9738.97758474201
6037113301,84975,1366,Low Income,No,No,Yes,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,3100,24238364.2363281,22493.9283676644
6037113303,88567,1265,Low Income,No,No,Yes,District 3,Los Angeles - Chatsworth,SPA 2 - San Fernando,3101,44020903.9697266,30964.7177926765
6037222001,79082,946,Low Income,Yes,No,Yes,District 2,Los Angeles - Exposition Park,SPA 6 - South,3102,5104919.04589844,9152.50879239033
6037222002,51084,1406,Very Low Income,Yes,No,Yes,District 2,Los Angeles - Exposition Park,SPA 6 - South,3103,7060516.01171875,10841.4699837102
6037222100,61563,1205,Low Income,Yes,No,Yes,District 2,Los Angeles - Adams-Normandie,SPA 6 - South,3104,5152775.11523438,10486.6220182498
6037222200,47955,1264,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - Adams-Normandie,SPA 6 - South,3105,5186450.16796875,10532.8428543884
6037222500,57969,1229,Very Low Income,Yes,No,Yes,District 2,Los Angeles - Exposition Park,SPA 6 - South,3106,7020978.22851563,10605.3247975699
6037222600,34493,1669,Extremely Low Income,Yes,Yes,Yes,District 2,Los Angeles - Exposition Park,SPA 6 - South,3107,7012275.47363281,10584.986260272
6037222700,,108,,,,,District 2,Los Angeles - Exposition Park,SPA 6 - South,3108,9012061.97265625,13506.6237253264
6037224010,36604,1558,Very Low Income,Yes,Yes,Yes,District 1,Los Angeles - Downtown,SPA 4 - Metro,3109,8935641.59765625,13793.161805067
6037224020,32713,895,Extremely Low Income,Yes,Yes,Yes,District 1,Los Angeles - Downtown,SPA 4 - Metro,3110,13274685.3955078,15194.7454065141
6037224200,36071,796,Very Low Income,Yes,Yes,Yes,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,3111,4048361.07226563,8617.78577663353
6037224310,42417,611,Very Low Income,Yes,Yes,Yes,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,3112,1829472.2421875,6639.97881226215
6037224320,16471,1155,Extremely Low Income,Yes,Yes,Yes,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,3113,3148559.90722656,8337.93360619919
6037224410,29894,1140,Extremely Low Income,Yes,Yes,Yes,District 2,Los Angeles - University Park,SPA 6 - South,3114,4725219.91210938,10260.6753657762
6037224420,23210,883,Extremely Low Income,Yes,Yes,Yes,District 2,Los Angeles - University Park,SPA 6 - South,3115,3967094.94433594,8686.50040224481
6037224600,46607,790,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - University Park,SPA 6 - South,3116,7717302.546875,11199.3118817496
6037224701,32500,264,Extremely Low Income,Yes,Yes,Yes,District 2,Los Angeles - University Park,SPA 6 - South,3117,2557086.5,7567.39963666438
6037224702,9722,714,Extremely Low Income,Yes,Yes,Yes,District 2,Los Angeles - University Park,SPA 6 - South,3118,4249936.35449219,9717.86746360678
6037226001,34444,580,Extremely Low Income,Yes,Yes,Yes,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,3119,11262506.0888672,19000.4917544779
6037226002,37147,1157,Very Low Income,Yes,Yes,Yes,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,3120,27454967.0957031,21360.5903720666
6037226410,38438,872,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - Central,SPA 6 - South,3121,3020288.66894531,7061.80101743658
6037620802,131821,1275,Above Moderate Income,No,No,No,District 2,City of Manhattan Beach,SPA 8 - South Bay,3122,13837312.9804688,15788.2904134713
6037226420,43464,1330,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - Central,SPA 6 - South,3123,4595354.35351563,8778.89144486758
6037226701,65192,646,Low Income,Yes,No,Yes,District 2,Los Angeles - Central,SPA 6 - South,3124,4036350.90136719,9176.57226799415
6037226702,42217,892,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - Central,SPA 6 - South,3125,4406073.59375,11981.4299516604
6037227010,44277,1106,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - Central,SPA 6 - South,3126,6216997.72460938,11488.357243906
6037227020,55917,828,Very Low Income,Yes,No,Yes,District 2,Los Angeles - Central,SPA 6 - South,3127,4614952.89550781,8995.56467291075
6037228100,55335,1159,Very Low Income,Yes,No,Yes,District 2,Los Angeles - Vernon Central,SPA 6 - South,3128,10984093.9179688,14969.7427789219
6037228210,36214,1038,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - Central,SPA 6 - South,3129,4507252.89941406,9082.69698037585
6037228220,45875,955,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - Vernon Central,SPA 6 - South,3130,3933562.86621094,9102.11900237506
6037228310,44115,1034,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - Central,SPA 6 - South,3131,5963185.01953125,10969.7939622292
6037228320,43770,718,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - Vernon Central,SPA 6 - South,3132,3529045.5390625,9981.91344690457
6037228410,42337,731,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - Central,SPA 6 - South,3133,2993552.68164063,7099.98028400651
6037228420,43661,691,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - South Park,SPA 6 - South,3134,2985814.79492188,7921.09523617598
6037228500,36842,1166,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - South Park,SPA 6 - South,3135,4884458.17578125,9075.60805820818
6037228600,53864,1120,Very Low Income,Yes,No,Yes,District 2,Los Angeles - Vernon Central,SPA 6 - South,3136,5686621.625,9583.53107138211
6037228710,33704,1028,Extremely Low Income,Yes,Yes,Yes,District 2,Los Angeles - Vernon Central,SPA 6 - South,3137,4362081.15234375,9256.62522039291
6037228720,49875,1105,Very Low Income,Yes,No,Yes,District 2,Los Angeles - Vernon Central,SPA 6 - South,3138,4355249.90625,9244.49435759766
6037228800,40955,1236,Very Low Income,Yes,Yes,Yes,District 2,Los Angeles - Vernon Central,SPA 6 - South,3139,9091598.73828125,12294.3884741702
6037228900,27917,754,Extremely Low Income,Yes,Yes,Yes,District 2,Los Angeles - Vernon Central,SPA 6 - South,3140,5560833.44042969,9591.92022175595
6037229100,53958,1101,Very Low Income,Yes,No,Yes,District 2,Los Angeles - Vernon Central,SPA 6 - South,3141,5110877.33496094,9150.0488569771
